# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:22.258Z	MOVE	78	G:\Poze\1000012877.jpg	G:\Poze\.duplicates\1000012877.jpg	-
2026-04-28T23:49:22.266Z	MOVE	79	G:\Poze\IMG-20230714-WA0086_2.jpg	G:\Poze\.duplicates\IMG-20230714-WA0086_2.jpg	-
2026-04-28T23:49:22.272Z	SKIP	79	G:\Poze\IMG-20230714-WA0086.jpg	-	source-missing
2026-04-28T23:49:22.279Z	MOVE	80	G:\Poze\IMG-20230714-WA0085_2.jpg	G:\Poze\.duplicates\IMG-20230714-WA0085_2.jpg	-
2026-04-28T23:49:22.285Z	SKIP	80	G:\Poze\IMG-20230714-WA0085.jpg	-	source-missing
2026-04-28T23:49:22.291Z	KEEPER_MISSING	81	G:\Poze\IMG-20230714-WA0005.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0005.jpg	-
2026-04-28T23:49:22.298Z	MOVE	81	G:\Poze\1000014736.jpg	G:\Poze\.duplicates\1000014736.jpg	-
2026-04-28T23:49:22.304Z	KEEPER_MISSING	82	G:\Poze\IMG-20230714-WA0004.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0004.jpg	-
2026-04-28T23:49:22.312Z	MOVE	82	G:\Poze\1000013203.jpg	G:\Poze\.duplicates\1000013203.jpg	-
2026-04-28T23:49:22.318Z	KEEPER_MISSING	83	G:\Poze\IMG-20230714-WA0002.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230714-WA0002.jpg	-
2026-04-28T23:49:22.325Z	MOVE	83	G:\Poze\1000013033.jpg	G:\Poze\.duplicates\1000013033.jpg	-
2026-04-28T23:49:22.331Z	KEEPER_MISSING	84	G:\Poze\IMG-20230713-WA0005.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230713-WA0005.jpg	-
2026-04-28T23:49:22.338Z	MOVE	84	G:\Poze\1000012997.jpg	G:\Poze\.duplicates\1000012997.jpg	-
2026-04-28T23:49:22.344Z	KEEPER_MISSING	85	G:\Poze\IMG-20230713-WA0002.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230713-WA0002.jpg	-
2026-04-28T23:49:22.351Z	MOVE	85	G:\Poze\1000013173.jpg	G:\Poze\.duplicates\1000013173.jpg	-
