# g-bulk-delete-quarantine log — TSV: timestamp	event	category	old_path	new_path	reason
# run start 2026-04-29T00:01:05.702Z dryRun=false maxMoves=Infinity
2026-04-29T00:01:06.601Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015173_2.jpg	G:\Poze\.review-for-delete\1000015173_2.jpg	-
2026-04-29T00:01:06.607Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015174_2.jpg	G:\Poze\.review-for-delete\1000015174_2.jpg	-
2026-04-29T00:01:06.612Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015175_2.jpg	G:\Poze\.review-for-delete\1000015175_2.jpg	-
2026-04-29T00:01:06.617Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015176_2.jpg	G:\Poze\.review-for-delete\1000015176_2.jpg	-
2026-04-29T00:01:06.622Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015177_2.jpg	G:\Poze\.review-for-delete\1000015177_2.jpg	-
2026-04-29T00:01:06.627Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015178_2.jpg	G:\Poze\.review-for-delete\1000015178_2.jpg	-
2026-04-29T00:01:06.632Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015179_2.jpg	-	source-missing
2026-04-29T00:01:06.636Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015180_2.jpg	-	source-missing
2026-04-29T00:01:06.642Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015181_2.jpg	G:\Poze\.review-for-delete\1000015181_2.jpg	-
2026-04-29T00:01:06.647Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015182_2.jpg	G:\Poze\.review-for-delete\1000015182_2.jpg	-
2026-04-29T00:01:06.651Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015183_2.jpg	-	source-missing
2026-04-29T00:01:06.658Z	SKIP	pattern:fb-photo-id	G:\Poze\1000015184_2.jpg	-	source-missing
2026-04-29T00:01:06.663Z	MOVE	pattern:fb-photo-id	G:\Poze\1000015185_2.jpg	G:\Poze\.review-for-delete\1000015185_2.jpg	-
