# g-master-dedup log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-29T08:48:04.906Z dryRun=false maxMoves=Infinity threshold=0
2026-04-29T08:49:08.280Z	MOVE	4563	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20190106-WA0006.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20190106-WA0006.jpg	-
2026-04-29T08:49:08.281Z	MOVE	4563	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20180415-WA0008.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20180415-WA0008.jpg	-
2026-04-29T08:49:08.283Z	MOVE	4563	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20190106-WA0005.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20190106-WA0005.jpg	-
2026-04-29T08:49:08.344Z	MOVE	4563	G:\backup media telefon\poze\Whatsapp\IMG-20180415-WA0008.jpg	G:\duplicates-to_be_deleted\backup media telefon\poze\Whatsapp\IMG-20180415-WA0008.jpg	-
2026-04-29T08:49:08.345Z	MOVE	4563	G:\backup media telefon\poze\Whatsapp\IMG-20180415-WA0011.jpg	G:\duplicates-to_be_deleted\backup media telefon\poze\Whatsapp\IMG-20180415-WA0011.jpg	-
2026-04-29T08:49:08.346Z	MOVE	4563	G:\backup media telefon\poze\Whatsapp\IMG-20180415-WA0017.jpg	G:\duplicates-to_be_deleted\backup media telefon\poze\Whatsapp\IMG-20180415-WA0017.jpg	-
2026-04-29T08:49:08.347Z	MOVE	4563	G:\backup media telefon\poze\Whatsapp\IMG-20190106-WA0005.jpg	G:\duplicates-to_be_deleted\backup media telefon\poze\Whatsapp\IMG-20190106-WA0005.jpg	-
2026-04-29T08:49:08.348Z	MOVE	4563	G:\backup media telefon\poze\Whatsapp\IMG-20190106-WA0006.jpg	G:\duplicates-to_be_deleted\backup media telefon\poze\Whatsapp\IMG-20190106-WA0006.jpg	-
2026-04-29T08:49:08.349Z	MOVE	4563	G:\backup media telefon\poze\Whatsapp\IMG-20190106-WA0008.jpg	G:\duplicates-to_be_deleted\backup media telefon\poze\Whatsapp\IMG-20190106-WA0008.jpg	-
2026-04-29T08:49:08.382Z	MOVE	4563	G:\Poze\WhatsApp-by-year\2019\IMG-20190106-WA0005.jpg	G:\duplicates-to_be_deleted\Poze\WhatsApp-by-year\2019\IMG-20190106-WA0005.jpg	-
